Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -6.0031266 0.0 -23.155 9.62412 -20.0652 159.059 -1144.85 160.074 -1148.71 0.0 160.074 -1148.71 49.1484 -23.155 -962.6426 11.8082 11.8082
0 1 -6.0020585 0.0 -23.155 9.62474 -20.063 159.059 -1144.85 160.068 -1148.68 0.0 160.068 -1148.68 49.1386 -23.155 -962.6284 11.8008 11.8008
0 2 -5.9955397 0.0 -23.126 9.62592 -20.0604 159.059 -1144.85 160.046 -1148.58 0.0 160.046 -1148.58 49.1231 -23.126 -962.53687 11.8034 11.8034
0 3 -5.8348584 0.0 -22.163 9.72848 -20.3664 159.059 -1144.85 159.981 -1147.49 0.0 159.981 -1147.49 60.0717 -22.163 -949.6003 22.2029 22.2029
1 0 -5.762099 0.0 -20.4323 9.68524 -20.0465 159.059 -1144.85 160.794 -1149.98 0.0 160.794 -1149.98 47.9237 -20.4323 -961.6945 11.0966 11.0966
1 1 -5.762099 0.0 -20.4323 9.68524 -20.0465 159.059 -1144.85 160.794 -1149.98 0.0 160.794 -1149.98 47.9237 -20.4323 -961.6945 11.0966 11.0966
1 2 -5.762099 0.0 -20.4323 9.68524 -20.0465 159.059 -1144.85 160.794 -1149.98 0.0 160.794 -1149.98 47.9237 -20.4323 -961.6945 11.0966 11.0966
1 3 -5.7531543 0.0 -20.4428 9.67864 -20.0031 159.059 -1144.85 160.817 -1149.82 0.0 160.817 -1149.82 47.9277 -20.4428 -961.51807 10.9554 10.9554
1 4 -5.7531543 0.0 -20.4428 9.67864 -20.0031 159.059 -1144.85 160.817 -1149.82 0.0 160.817 -1149.82 47.9277 -20.4428 -961.51807 10.9554 10.9554
1 5 -5.7531543 0.0 -20.4428 9.67864 -20.0031 159.059 -1144.85 160.817 -1149.82 0.0 160.817 -1149.82 47.9277 -20.4428 -961.51807 10.9554 10.9554
1 6 -5.7273917 0.0 -20.2359 9.68528 -20.0462 159.059 -1144.85 160.913 -1149.9 0.0 160.913 -1149.9 47.8782 -20.2359 -961.3447 11.1279 11.1279
1 7 -5.7273917 0.0 -20.2359 9.68528 -20.0462 159.059 -1144.85 160.913 -1149.9 0.0 160.913 -1149.9 47.8782 -20.2359 -961.3447 11.1279 11.1279
2 0 -5.867254 0.0 -23.2931 9.69431 -20.0425 159.059 -1144.85 160.323 -1146.53 0.0 160.323 -1146.53 48.154 -23.2931 -961.3462 9.24891 9.24891
2 1 -5.867254 0.0 -23.2931 9.69431 -20.0425 159.059 -1144.85 160.323 -1146.53 0.0 160.323 -1146.53 48.154 -23.2931 -961.3462 9.24891 9.24891
2 2 -5.9623384 0.0 -25.0148 9.69607 -20.3665 159.059 -1144.85 160.353 -1145.79 0.0 160.353 -1145.79 49.8744 -25.0148 -960.5774 11.2044 11.2044
2 3 -5.9623384 0.0 -25.0148 9.69607 -20.3665 159.059 -1144.85 160.353 -1145.79 0.0 160.353 -1145.79 49.8744 -25.0148 -960.5774 11.2044 11.2044
2 4 -5.656042 0.0 -21.1538 9.67695 -20.3824 159.059 -1144.85 160.302 -1146.72 0.0 160.302 -1146.72 49.2309 -21.1538 -958.3408 13.0126 13.0126
2 5 -5.656042 0.0 -21.1538 9.67695 -20.3824 159.059 -1144.85 160.302 -1146.72 0.0 160.302 -1146.72 49.2309 -21.1538 -958.3408 13.0126 13.0126
2 6 -5.656042 0.0 -21.1538 9.67695 -20.3824 159.059 -1144.85 160.302 -1146.72 0.0 160.302 -1146.72 49.2309 -21.1538 -958.3408 13.0126 13.0126
2 7 -5.656042 0.0 -21.1538 9.67695 -20.3824 159.059 -1144.85 160.302 -1146.72 0.0 160.302 -1146.72 49.2309 -21.1538 -958.3408 13.0126 13.0126
3 0 -6.0515304 0.0 -26.928 9.64775 -20.1615 159.059 -1144.85 160.062 -1143.71 0.0 160.062 -1143.71 49.6116 -26.928 -960.96436 12.079 12.079
4 0 -5.6746774 0.0 -17.4727 9.65134 -20.2294 159.059 -1144.85 160.036 -1152.19 0.0 160.036 -1152.19 49.1207 -17.4727 -960.506 14.2135 14.2135
5 0 -5.6077843 0.0 -18.0176 9.66719 -20.1778 159.059 -1144.85 160.548 -1150.97 0.0 160.548 -1150.97 48.0547 -18.0176 -960.3849 14.8747 14.8747
5 1 -5.613067 0.0 -18.1203 9.66646 -20.1838 159.059 -1144.85 160.545 -1150.9 0.0 160.545 -1150.9 48.0949 -18.1203 -960.38043 14.8652 14.8652
5 2 -5.613078 0.0 -18.1189 9.66647 -20.183 159.059 -1144.85 160.544 -1150.9 0.0 160.544 -1150.9 48.0966 -18.1189 -960.37836 14.865 14.865
5 3 -5.6514 0.0 -19.5351 9.71052 -19.722 159.059 -1144.85 160.927 -1149.4 0.0 160.927 -1149.4 51.199 -19.5351 -956.8091 16.3172 16.3172
5 4 -5.5745654 0.0 -18.9338 9.70637 -19.7436 159.059 -1144.85 160.654 -1148.68 0.0 160.654 -1148.68 51.5894 -18.9338 -955.3704 16.5705 16.5705
5 5 -5.5517845 0.0 -18.6294 9.70755 -19.7446 159.059 -1144.85 160.578 -1148.66 0.0 160.578 -1148.66 51.8283 -18.6294 -954.8832 16.7119 16.7119
6 0 -6.4523644 0.0 -33.8652 9.75803 -20.4213 159.059 -1144.85 159.806 -1139.23 0.0 159.806 -1139.23 53.1762 -33.8652 -960.1129 10.8248 10.8248
6 1 -6.2067213 0.0 -30.3707 9.728 -22.8699 159.059 -1144.85 159.843 -1143.17 0.0 159.843 -1143.17 55.1895 -30.3707 -958.5082 11.5077 11.5077
6 2 -5.8983603 0.0 -21.4714 9.89035 -21.3771 159.059 -1144.85 160.054 -1150.47 0.0 160.054 -1150.47 58.121 -21.4714 -953.7663 15.6523 15.6523
6 3 -5.8992558 0.0 -21.6312 9.78049 -20.5068 159.059 -1144.85 160.14 -1149.67 0.0 160.14 -1149.67 61.4248 -21.6312 -949.73645 21.4763 21.4763
6 4 -6.184303 0.0 -29.3565 9.87827 -22.4019 159.059 -1144.85 160.101 -1144.07 0.0 160.101 -1144.07 73.4763 -29.3565 -939.8492 25.2533 25.2533
7 0 -5.7961454 0.0 -22.5116 9.65582 -20.219 159.059 -1144.85 161.512 -1148.65 0.0 161.512 -1148.65 49.6707 -22.5116 -959.979 16.4101 16.4101
7 1 -5.7961454 0.0 -22.5116 9.65582 -20.219 159.059 -1144.85 161.512 -1148.65 0.0 161.512 -1148.65 49.6707 -22.5116 -959.979 16.4101 16.4101
7 2 -5.79442 0.0 -22.4734 9.65489 -20.225 159.059 -1144.85 161.526 -1148.71 0.0 161.526 -1148.71 49.7078 -22.4734 -959.9496 16.4361 16.4361
7 3 -5.79442 0.0 -22.4734 9.65489 -20.225 159.059 -1144.85 161.526 -1148.71 0.0 161.526 -1148.71 49.7078 -22.4734 -959.9496 16.4361 16.4361
7 4 -5.79442 0.0 -22.4734 9.65489 -20.225 159.059 -1144.85 161.526 -1148.71 0.0 161.526 -1148.71 49.7078 -22.4734 -959.9496 16.4361 16.4361
7 5 -5.8012853 0.0 -22.6313 9.65361 -20.2321 159.059 -1144.85 161.502 -1148.55 0.0 161.502 -1148.55 49.783 -22.6313 -959.8963 16.4168 16.4168
7 6 -5.8012853 0.0 -22.6313 9.65361 -20.2321 159.059 -1144.85 161.502 -1148.55 0.0 161.502 -1148.55 49.783 -22.6313 -959.8963 16.4168 16.4168
7 7 -5.8012853 0.0 -22.6313 9.65361 -20.2321 159.059 -1144.85 161.502 -1148.55 0.0 161.502 -1148.55 49.783 -22.6313 -959.8963 16.4168 16.4168
8 0 -5.926347 0.0 -26.1715 9.65014 -20.3578 159.059 -1144.85 160.239 -1143.3 0.0 160.239 -1143.3 49.7129 -26.1715 -959.51965 13.8709 13.8709
8 1 -5.926347 0.0 -26.1715 9.65014 -20.3578 159.059 -1144.85 160.239 -1143.3 0.0 160.239 -1143.3 49.7129 -26.1715 -959.51965 13.8709 13.8709
8 2 -5.8972483 0.0 -25.7875 9.65231 -20.3541 159.059 -1144.85 160.303 -1143.51 0.0 160.303 -1143.51 49.5732 -25.7875 -959.4214 13.9891 13.9891
